zipcode,number,letter
2673,5,A
2675,5,A
2702,5,A
2703,5,A
2712,5,A
2713,5,A
2714,5,A
2715,5,A
2717,5,A
2718,5,A
2719,5,A
2720,5,A
2721,5,A
2722,5,A
2723,5,A
2724,5,A
2725,5,A
2726,5,A
2738,5,A
2739,5,A
2740,5,A
2741,5,A
2742,5,A
2743,5,A
2744,5,A
2745,5,A
2746,5,A
2747,5,A
2748,5,A
2760,5,A
2761,5,A
2762,5,A
2763,5,A
2764,5,A
2766,5,A
2767,5,A
2768,5,A
2769,5,A
2770,5,A
2771,5,A
2777,5,A
2779,5,A
2780,5,A
2790,5,A
2791,5,A
2801,5,A
2802,5,A
2804,5,A
2806,5,A
2807,5,A
2808,5,A
2809,5,A
2812,5,A
2813,5,A
2814,5,A
2815,5,A
2816,5,A
2817,5,A
2818,5,A
2822,5,A
2823,5,A
2824,5,A
2825,5,A
2826,5,A
2827,5,A
2828,5,A
2829,5,A
2830,5,A
2831,5,A
2832,5,A
2833,5,A
2835,5,A
2836,5,A
2837,5,A
2838,5,A
2839,5,A
2840,5,A
2841,5,A
2842,5,A
2852,5,A
2857,5,A
2858,5,A
2859,5,A
2860,5,A
2861,5,A
2862,5,A
2863,5,A
2864,5,A
2865,5,A
2871,5,A
2872,5,A
2873,5,A
2874,5,A
2875,5,A
2876,5,A
2877,5,A
2878,5,A
2879,5,A
2880,5,A
2881,5,A
2882,5,A
2883,5,A
2885,5,A
2886,5,A
2887,5,A
2888,5,A
2889,5,A
2891,5,A
2892,5,A
2893,5,A
2894,5,A
2895,5,A
2896,5,A
2898,5,A
2901,5,A
2902,5,A
2903,5,A
2904,5,A
2905,5,A
2906,5,A
2907,5,A
2908,5,A
2909,5,A
2910,5,A
2911,5,A
2912,5,A
2914,5,A
2915,5,A
2916,5,A
2917,5,A
2918,5,A
2919,5,A
2920,5,A
2921,5,A
2940,5,A
3031,5,A
3032,5,A
3033,5,A
3034,5,A
3036,5,A
3037,5,A
3038,5,A
3041,5,A
3042,5,A
3043,5,A
3044,5,A
3045,5,A
3046,6,A
3047,5,A
3048,5,A
3049,5,A
3051,5,A
3052,5,A
3053,5,A
3054,5,A
3055,5,A
3057,5,A
3060,5,A
3061,5,A
3062,5,A
3063,5,A
3064,5,A
3070,5,A
3071,5,A
3073,5,A
3076,5,A
3077,5,A
3079,5,A
3082,5,A
3084,5,A
3086,5,A
3087,5,A
3101,5,A
3102,5,A
3103,5,A
3104,5,A
3105,5,A
3106,6,A
3108,5,A
3109,5,A
3110,5,A
3111,5,A
3215,6,A
3216,6,A
3217,6,A
3218,6,A
3220,6,A
3221,6,A
3222,6,A
3223,6,A
3224,6,A
3225,6,A
3226,6,A
3227,6,A
3229,6,A
3230,6,A
3231,6,A
3233,6,A
3234,6,A
3235,6,A
3237,6,A
3240,6,A
3241,6,A
3242,6,A
3243,6,A
3244,5,A
3245,6,A
3246,6,A
3247,6,A
3249,6,A
3251,6,A
3252,6,A
3253,6,A
3254,6,A
3255,6,A
3256,6,A
3257,6,A
3258,6,A
3259,6,A
3260,6,A
3261,5,A
3262,6,A
3263,6,A
3264,6,A
3266,6,A
3268,6,A
3269,6,A
3272,6,A
3273,6,A
3275,6,A
3276,6,A
3278,6,A
3279,6,A
3280,6,A
3281,5,A
3282,6,A
3284,6,A
3285,6,A
3287,6,A
3289,6,A
3290,5,A
3291,5,A
3293,6,A
3301,6,A
3302,6,A
3303,6,A
3304,6,A
3307,6,A
3431,5,A
3435,5,A
3440,5,A
3441,5,A
3442,5,A
3443,5,A
3444,5,A
3445,5,A
3446,5,A
3447,5,A
3448,5,A
3449,5,A
3450,5,A
3451,5,A
3452,5,A
3455,5,A
3456,5,A
3457,5,A
3458,5,A
3461,5,A
3462,5,A
3464,5,A
3465,5,A
3466,5,A
3467,5,A
3468,5,A
3469,5,A
3470,5,A
3561,6,A
3570,6,A
3574,6,A
3575,6,A
3576,6,A
3579,6,A
3580,6,A
3581,6,A
3582,6,A
3583,6,A
3584,6,A
3585,6,A
3586,6,A
3588,6,A
3589,6,A
3590,6,A
3592,6,A
3593,6,A
3595,6,A
3597,6,A
3598,6,A
3601,6,A
3602,5,A
3603,6,A
3604,5,A
3605,6,A
3607,6,A
3608,5,A
3609,5,A
3740,6,A
3741,6,A
3743,6,A
3745,6,A
3746,6,A
3748,6,A
3749,6,A
3750,6,A
3751,6,A
3752,6,A
3753,6,A
3754,6,A
3755,6,A
3756,6,A
3765,6,A
3766,6,A
3768,6,A
3769,6,A
3770,6,A
3771,6,A
3773,6,A
3774,6,A
3777,6,A
3779,6,A
3780,6,A
3781,6,A
3782,6,A
3784,6,A
3785,6,A
3801,5,A
3802,5,A
3804,5,A
3809,6,A
3810,6,A
3811,5,A
3812,6,A
3813,6,A
3814,6,A
3815,5,A
3816,6,A
3817,6,A
3818,6,A
3819,5,A
3820,5,A
3821,5,A
3823,5,A
3824,5,A
3825,5,A
3826,5,A
3827,5,A
3830,6,A
3832,6,A
3833,5,A
3835,5,A
3836,6,A
3837,6,A
3838,6,A
3839,5,A
3840,5,A
3841,5,A
3842,5,A
3843,5,A
3844,5,A
3845,6,A
3846,6,A
3847,6,A
3848,5,A
3849,6,A
3850,6,A
3851,5,A
3852,5,A
3853,6,A
3854,5,A
3855,5,A
3856,5,A
3857,5,A
3858,5,A
3859,5,A
3860,6,A
3861,5,A
3862,5,A
3864,6,A
3865,5,A
3866,5,A
3867,5,A
3868,5,A
3869,5,A
3870,5,A
3871,5,A
3872,6,A
3873,5,A
3874,5,A
3875,6,A
3878,5,A
3882,6,A
3883,6,A
3884,5,A
3885,5,A
3886,6,A
3887,6,A
3890,6,A
3894,6,A
3896,6,A
3897,6,A
3901,6,A
3902,6,A
3903,6,A
3904,6,A
3905,6,A
3906,6,A
3907,6,A
3908,6,A
3909,6,A
3910,6,A
3911,6,A
4001,6,A
4002,6,A
4003,6,A
4004,6,A
4005,6,A
4006,6,A
4008,6,A
4009,6,A
4010,6,A
4011,6,A
4013,6,A
4014,6,A
4015,6,A
4016,6,A
4017,6,A
4019,6,A
4020,6,A
4021,6,A
4022,6,A
4024,6,A
4027,6,A
4028,6,A
4029,6,A
4030,6,A
4032,6,A
4033,6,A
4034,6,A
4037,6,A
4038,6,A
4039,6,A
4040,6,A
4041,6,A
4042,6,A
4043,6,A
4046,6,A
4047,6,A
4048,6,A
4049,6,A
4050,6,A
4051,6,A
4054,6,A
4055,6,A
4056,6,A
4057,6,A
4061,6,A
4062,6,A
4063,6,A
4064,6,A
4066,6,A
4068,6,A
4069,6,A
4070,6,A
4071,6,A
4072,6,A
4073,6,A
4074,6,A
4076,6,A
4077,6,A
4078,6,A
4079,6,A
4082,6,A
4083,6,A
4084,6,A
4085,6,A
4086,6,A
4087,6,A
4088,6,A
4090,6,A
4091,6,A
4092,6,A
4093,6,A
4094,6,A
4095,6,A
4096,6,A
4097,6,A
4098,6,A
4101,6,A
4102,6,A
4103,6,A
4104,6,A
4105,6,A
4106,6,A
4107,6,A
4108,6,A
4109,6,A
4110,6,A
4112,6,A
4116,6,A
4122,6,A
4210,6,A
4211,6,A
4212,6,A
4216,6,A
4217,6,A
4219,6,A
4220,6,A
4221,6,A
4222,6,A
4223,6,A
4224,6,A
4225,6,A
4226,6,A
4227,6,A
4228,6,A
4230,6,A
4231,6,A
4234,6,A
4236,6,A
4237,6,A
4238,6,A
4239,6,A
4240,6,A
4241,6,A
4243,6,A
4250,6,A
4252,6,A
4253,6,A
4254,6,A
4255,6,A
4256,6,A
4257,6,A
4258,6,A
4259,6,A
4260,6,A
4261,6,A
4262,6,A
4263,6,A
4265,6,A
4266,6,A
4267,6,A
4268,6,A
4270,6,A
4271,6,A
4274,6,A
4275,6,A
4276,6,A
4280,6,A
4281,6,A
4282,6,A
4284,6,A
4285,6,A
4286,6,A
4287,6,A
4288,6,A
4289,6,A
4290,6,A
4291,6,A
4292,6,A
4294,6,A
4330,6,A
4332,6,A
4333,6,A
4338,6,A
4341,6,A
4342,6,A
4343,6,A
4344,6,A
4345,6,A
4346,6,A
4347,6,A
4348,6,A
4349,6,A
4350,6,A
4351,6,A
4352,6,A
4353,6,A
4354,6,A
4355,6,A
4357,6,A
4358,6,A
4359,6,A
4360,6,A
4363,6,A
4364,6,A
4401,6,A
4402,6,A
4406,6,A
4408,6,A
4410,6,A
4411,6,A
4412,6,A
4413,6,A
4414,6,A
4415,6,A
4416,6,A
4417,6,A
4418,6,A
4419,6,A
4420,6,A
4421,6,A
4422,6,A
4424,6,A
4426,6,A
4427,6,A
4428,6,A
4429,6,A
4430,6,A
4431,6,A
4434,6,A
4435,6,A
4438,6,A
4441,6,A
4442,6,A
4443,6,A
4444,6,A
4448,6,A
4449,6,A
4450,6,A
4451,6,A
4453,6,A
4455,6,A
4456,6,A
4457,6,A
4459,6,A
4460,6,A
4461,6,A
4462,6,A
4463,6,A
4464,6,A
4468,6,A
4469,6,A
4471,7,
4472,6,A
4473,6,A
4474,6,A
4475,6,A
4476,6,A
4478,6,A
4479,6,A
4481,6,A
4485,6,A
4487,6,A
4488,6,A
4489,6,A
4490,6,A
4491,6,A
4492,6,A
4493,6,A
4495,6,A
4496,6,A
4497,7,
4530,6,A
4535,6,A
4537,6,A
4538,6,A
4539,6,A
4541,6,A
4543,6,A
4544,6,A
4547,6,A
4548,6,A
4549,6,A
4551,6,A
4553,6,A
4554,6,A
