Zip (int),Station
38336,USA_TN_Jackson-McKellar.Sipes.Rgnl.AP.723346_TMY3
39088,USA_MS_Jackson.Intl.AP.722350_TMY3
45053,USA_KY_Cincinnati-Northern.Kentucky.AP.724210_TMY3
45251,USA_OH_Cincinnati.Muni.AP-Lunken.Field.724297_TMY3
33901,USA_FL_Fort.Myers-Page.Field.722106_TMY3
52207,USA_IA_Monticello.Muni.AP.725475_TMY3
37025,USA_TN_Nashville.Intl.AP.723270_TMY3
38045,USA_TN_Jackson-McKellar.Sipes.Rgnl.AP.723346_TMY3
33780,USA_FL_St.Petersburg-Clearwater.Intl.AP.722116_TMY3
18451,USA_PA_Wilkes-Barre-Scranton.Intl.AP.725130_TMY3
71644,USA_AR_Pine.Bluff.AP.723417_TMY3
48202,USA_MI_Detroit-City.AP.725375_TMY3
56253,USA_MN_Willmar.Muni.AP.726576_TMY3
41764,USA_KY_Jackson-Julian.Carroll.AP.724236_TMY3
49668,USA_MI_Cadillac-Wexford.County.AP.726384_TMY3
52550,USA_IA_Ottumwa.Industrial.AP.725465_TMY3
30467,USA_GA_Augusta-Bush-Field.722180_TMY3
19718,USA_DE_Wilmington-New.Castle.County.AP.724089_TMY3
21644,USA_DE_Dover.AFB.724088_TMY3
13224,USA_NY_Syracuse-Hancock.Intl.AP.725190_TMY3
15102,USA_PA_Pittsburgh-Allegheny.County.AP.725205_TMY3
16565,USA_PA_Erie.Intl.AP.725260_TMY3
33064,USA_FL_Fort.Lauderdale.Executive.AP.722039_TMY3
33565,USA_FL_Lakeland.Linder.Rgnl.AP.722119_TMY3
21922,USA_DE_Wilmington-New.Castle.County.AP.724089_TMY3
22034,USA_VA_Davison.AAF.724037_TMY3
23704,USA_VA_Norfolk.Intl.AP.723080_TMY3
1754,USA_MA_Norwood.Mem.AP.725098_TMY3
3438,USA_NH_Keene-Dillant.Hopkins.AP.726165_TMY3
4116,USA_ME_Auburn-Lewiston.Muni.AP.726184_TMY3
751,PRI_Mercedita.AP.785203_TMY3
13782,USA_NY_Monticello.AWOS.725145_TMY3
32321,USA_FL_Tallahassee.Rgnl.AP.722140_TMY3
33763,USA_FL_St.Petersburg-Clearwater.Intl.AP.722116_TMY3
20239,USA_VA_Arlington-Ronald.Reagan.Washington.Natl.AP.724050_TMY3
21274,USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3
22315,USA_VA_Davison.AAF.724037_TMY3
22442,USA_MD_Patuxent.River.NAS.724040_TMY3
23129,USA_VA_Richmond.Intl.AP.724010_TMY3
24085,USA_VA_Hot.Springs-Ingalls.Field.724115_TMY3
18001,USA_PA_Allentown-Lehigh.Valley.Intl.AP.725170_TMY3
33836,USA_FL_Orlando.Intl.AP.722050_TMY3
35063,USA_AL_Birmingham.Muni.AP.722280_TMY3
12144,USA_NY_Albany.County.AP.725180_TMY3
3809,USA_NH_Laconia.Muni.AWOS.726155_TMY3
8213,USA_NJ_Atlantic.City.Intl.AP.724070_TMY3
11555,USA_NY_Republic.AP.744864_TMY3
11558,USA_NY_New.York-J.F.Kennedy.Intl.AP.744860_TMY3
614,PRI_Aguadilla-Borinquen.AP.785140_TMY3
48381,USA_MI_Oakland.County.Intl.AP.726375_TMY3
43025,USA_OH_Columbus-Port.Columbus.Intl.AP.724280_TMY3
44117,USA_OH_Cleveland-Burke.Lakefront.AP.725245_TMY3
44513,USA_OH_Youngstown.Rgnl.AP.725250_TMY3
46303,USA_IL_Chicago-Midway.AP.725340_TMY3
37411,USA_TN_Chattanooga-Lovell.Field.AP.723240_TMY3
38673,USA_MS_Tupelo.Muni-C.D.Lemons.AP.723320_TMY3
88581,USA_TX_El.Paso.Intl.AP.722700_TMY3
89150,USA_NV_Las.Vegas-McCarran.Intl.AP.723860_TMY3
90022,USA_CA_Hawthorne-Jack.Northrop.Field.722956_TMY3
92317,USA_CA_March.AFB.722860_TMY3
92589,USA_CA_Palm.Springs-Thermal.AP.747187_TMY3
92803,USA_CA_Santa.Ana-John.Wayne.AP.722977_TMY3
54720,USA_WI_Eau.Claire.County.AP.726435_TMY3
55581,USA_MN_St.Cloud.Muni.AP.726550_TMY3
61037,USA_IL_Sterling-Rock.Falls-Whiteside.County.AP.725326_TMY3
62426,USA_IL_Mount.Vernon.AWOS.724335_TMY3
62462,USA_IL_Decatur.AP.725316_TMY3
66610,USA_KS_Topeka-Forbes.AFB.724565_TMY3
68132,USA_NE_Omaha-Eppley.Airfield.725500_TMY3
74522,USA_OK_McAlester.Rgnl.AP.723566_TMY3
77028,USA_TX_Houston-William.P.Hobby.AP.722435_TMY3
78572,USA_TX_McAllen-Miller.Intl.AP.722506_TMY3
79171,USA_TX_Amarillo.Intl.AP.723630_TMY3
79766,USA_TX_Midland.Intl.AP.722650_TMY3
72421,USA_AR_Jonesboro.Muni.AP.723407_TMY3
73702,USA_OK_Vance.AFB.723535_TMY3
84401,USA_UT_Ogden-Hinkley.AP.725750_TMY3
85246,USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3
86429,USA_CA_Needles.AP.723805_TMY3
99637,USA_AK_Mekoryuk.702185_TMY3
96002,USA_CA_Redding.Muni.AP.725920_TMY3
96023,USA_OR_Klamath.Falls.Intl.AP.725895_TMY3
97407,USA_OR_North.Bend.Muni.AP.726917_TMY3
80426,USA_CO_Eagle.County.Rgnl.AP.724675_TMY3
80736,USA_NE_Sidney.Muni.AP.725610_TMY3
81301,USA_CO_Durango-La.Plata.County.AP.724625_TMY3
83451,USA_ID_Idaho.Falls-Fanning.Field.725785_TMY3
91333,USA_CA_Long.Beach-Daugherty.Field.722970_TMY3
91357,USA_CA_Long.Beach-Daugherty.Field.722970_TMY3
94138,USA_CA_San.Francisco.Intl.AP.724940_TMY3
29332,USA_SC_Anderson.County.AP.723125_TMY3
38425,USA_AL_Muscle.Shoals.Rgnl.AP.723235_TMY3
39086,USA_MS_Natchez-Hardy.Anders.Field.722357_TMY3
40359,USA_KY_Lexington-Bluegrass.AP.724220_TMY3
45350,USA_OH_Dayton.Intl.AP.724290_TMY3
45681,USA_OH_Columbus-Port.Columbus.Intl.AP.724280_TMY3
31119,USA_GA_Dekalb.Peachtree.AP.722196_TMY3
32214,USA_FL_Jacksonville.NAS.722065_TMY3
32245,USA_FL_Jacksonville.NAS.722065_TMY3
33019,USA_FL_Fort.Lauderdale.Intl.AP.722025_TMY3
95042,USA_CA_San.Jose.Intl.AP.724945_TMY3
95224,USA_CA_South.Lake.Tahoe-Lake.Tahoe.AP.725847_TMY3
98226,USA_WA_Bellingham.Intl.AP.727976_TMY3
98536,USA_WA_Hoquiam.AP.727923_TMY3
99107,USA_WA_Fairchild.AFB.727855_TMY3
99341,USA_WA_Moses.Lake-Grant.County.AP.727827_TMY3
99722,USA_AK_Fort.Yukon.701940_TMY3
84020,USA_UT_Salt.Lake.City.Intl.AP.725720_TMY3
84123,USA_UT_Salt.Lake.City.Intl.AP.725720_TMY3
95676,USA_CA_Yuba.County.AP.724838_TMY3
40297,USA_KY_Louisville-Bowman.Field.724235_TMY3
53128,USA_IL_Waukegan.Rgnl.AP.725347_TMY3
55951,USA_MN_Austin.Muni.AP.727566_TMY3
45619,USA_WV_Huntington-Tri.State.Walker.Long.Field.724250_TMY3
46162,USA_IN_Indianapolis.Intl.AP.724380_TMY3
46778,USA_IN_Fort.Wayne.Intl.AP.725330_TMY3
