NAICS,USA (Mio kWh),USA (Mio SQFT),USA (count),Northeast Census Region,Midwest Census Region,South Census Region,West Census Region
327410,1398.00 ,6.00 ,86.00 ,69.00 ,467.00 ,676.00 ,185.00 
327420,1541.00 ,28.00 ,148.00 ,138.00 ,264.00 ,890.00 ,250.00 
327993,3110.00 ,34.00 ,191.00 ,129.00 ,1292.00 ,1170.00 ,519.00 
331,113382.00 ,602.00 ,3226.00 ,10936.00 ,41892.00 ,48571.00 ,11983.00 
331110,56170.00 ,216.00 ,390.00 ,6325.00 ,20330.00 ,26176.00 ,3338.00 
3312,6914.00 ,80.00 ,498.00 ,480.00 ,2294.00 ,3953.00 ,187.00 
3313,26260.00 ,105.00 ,399.00 ,1547.00 ,8608.00 ,11518.00 ,4587.00 
331314,780.00 ,13.00 ,109.00 ,24.00 ,300.00 ,225.00 ,230.00 
331315,5377.00 ,47.00 ,65.00 ,579.00 ,1564.00 ,2789.00 ,445.00 
331318,1917.00 ,35.00 ,191.00 ,281.00 ,698.00 ,691.00 ,247.00 
3314,13272.00 ,81.00 ,651.00 ,1571.00 ,4097.00 ,4521.00 ,3083.00 
331410,7887.00 ,14.00 ,107.00 ,123.00 ,2472.00 ,3001.00 ,2292.00 
3315,10766.00 ,120.00 ,1288.00 ,1012.00 ,6563.00 ,2404.00 ,787.00 
331511,5196.00 ,38.00 ,373.00 ,464.00 ,3252.00 ,1348.00 ,132.00 
331523,2078.00 ,27.00 ,257.00 ,93.00 ,1348.00 ,436.00 ,200.00 
331524,788.00 ,16.00 ,277.00 ,82.00 ,458.00 ,155.00 ,93.00 
332,36063.00 ,1530.00 ,37949.00 ,6078.00 ,18463.00 ,7388.00 ,4135.00 
333,23569.00 ,1021.00 ,14919.00 ,2222.00 ,9712.00 ,10417.00 ,1217.00 
334,22186.00 ,416.00 ,6646.00 ,4342.00 ,3186.00 ,6895.00 ,7762.00 
334413,11613.00 ,81.00 ,344.00 ,1026.00 ,1167.00 ,4022.00 ,5397.00 
335,11037.00 ,287.00 ,3295.00 ,1524.00 ,3786.00 ,4330.00 ,1397.00 
336,50462.00 ,1169.00 ,7103.00 ,-100.00 ,24876.00 ,16687.00 ,4205.00 
336111,4024.00 ,101.00 ,71.00 ,1.00 ,2024.00 ,1749.00 ,250.00 
336112,4233.00 ,93.00 ,69.00 ,1.00 ,2259.00 ,1970.00 ,3.00 
3364,9699.00 ,278.00 ,1199.00 ,843.00 ,2405.00 ,3424.00 ,3027.00 
336411,2721.00 ,94.00 ,347.00 ,169.00 ,528.00 ,1344.00 ,680.00 
337,4669.00 ,415.00 ,8347.00 ,577.00 ,1813.00 ,1764.00 ,514.00 
339,9547.00 ,359.00 ,13679.00 ,2148.00 ,3343.00 ,3052.00 ,1004.00 
